value,identifier_type_id,main_identifier,identifiable_type,identifiable_id
4000498013229,1,true,Product,129
4000498013236,1,true,Product,130
4000498014202,1,true,Product,131
4000498014219,1,true,Product,132
4000498014226,1,true,Product,133
4000498015520,1,true,Product,134
4000498021705,1,true,Product,135
4000498021712,1,true,Product,136
4000498022405,1,true,Product,137
4000498022412,1,true,Product,138
4000498022429,1,true,Product,139
4000498022436,1,true,Product,140
4000498022504,1,true,Product,141
4000498022511,1,true,Product,142
4000498022528,1,true,Product,143
4000498022535,1,true,Product,144
4000498022603,1,true,Product,145
4000498022610,1,true,Product,146
4000498022627,1,true,Product,147
4000498022634,1,true,Product,148
4000498022702,1,true,Product,149
4000498022801,1,true,Product,150
4000498023105,1,true,Product,151
4000498023112,1,true,Product,152
4000498023129,1,true,Product,153
4000498023136,1,true,Product,154
4000498023204,1,true,Product,155
4000498023211,1,true,Product,156
4000498023228,1,true,Product,157
4000498023235,1,true,Product,158
4000498023709,1,true,Product,159
4000498023808,1,true,Product,160
4000498032206,1,true,Product,161
4000498032213,1,true,Product,162
4000498032220,1,true,Product,163
4000498032305,1,true,Product,164
4000498032312,1,true,Product,165
4000498032329,1,true,Product,166
4665239410318,1,true,Product,167
5605787909956,1,true,Product,168
5904479011107,1,true,Product,169
5904479806017,1,true,Product,170
5904479806062,1,true,Product,171
5904479808004,1,true,Product,172
611932100111,2,true,Product,173
611932100128,2,true,Product,174
6820180353031,1,true,Product,175
6820180610424,1,true,Product,176
6820180610431,1,true,Product,177
6820180610448,1,true,Product,178
6928052230784,1,true,Product,179
6937537011077,1,true,Product,180
6942133310080,1,true,Product,181
6942133310103,1,true,Product,182
6956702514281,1,true,Product,183
6956702522033,1,true,Product,184
6956702522361,1,true,Product,185
6970117120059,1,true,Product,186
6970117120073,1,true,Product,187
6970117120097,1,true,Product,188
6970117120103,1,true,Product,189
6970117120219,1,true,Product,190
6970117120240,1,true,Product,191
6970117120288,1,true,Product,192
6970117120318,1,true,Product,193
6970117120363,1,true,Product,194
6970117120400,1,true,Product,195
6970117120431,1,true,Product,196
6970117121377,1,true,Product,197
6970117122213,1,true,Product,198
6970117122886,1,true,Product,199
6970117123876,1,true,Product,200
6970117123890,1,true,Product,201
6970117123913,1,true,Product,202
6970117123920,1,true,Product,203
6970117123999,1,true,Product,204
6970117124095,1,true,Product,205
6971606880010,1,true,Product,206
6971606880041,1,true,Product,207
6971606883806,1,true,Product,208
6971606884711,1,true,Product,209
6971606885626,1,true,Product,210
6976456455456,1,true,Product,211
6976456455456az,3,true,Offer,58
6976456455456gr,3,true,Offer,59
6976456455456ne,3,true,Offer,60
6976456455456pi,3,true,Offer,61
6976456455456ro,3,true,Offer,62
6976456455456ve,3,true,Offer,63
6988550620227,1,true,Product,212
6988550620234,1,true,Product,213
6988550620234az,3,true,Offer,64
6988550620234ro,3,true,Offer,65
7271770604331,4,true,Product,214
737186254957,2,true,Product,215
737186254964,2,true,Product,216
748960026721,2,true,Product,217
748960056322,2,true,Product,218
748960075484,2,true,Product,219
748960110819,2,true,Product,220
748960110819ro,3,true,Offer,66
748960117269,2,true,Product,221
748960134235,2,true,Product,222
748960134235ro,3,true,Offer,67
748960149642,2,true,Product,223
748960149642ro,3,true,Offer,68
748960160852,2,true,Product,224
748960214159,2,true,Product,225
748960296933,2,true,Product,226
748960355463,2,true,Product,227
748960397302,2,true,Product,228
748960427443,2,true,Product,229
748960494308,2,true,Product,230
748960527266,2,true,Product,231
748960555993,2,true,Product,232
748960556495,2,true,Product,233
748960572143,2,true,Product,234
748960576554,2,true,Product,235
748960616892,2,true,Product,236
748960622794,2,true,Product,237
748960622794ro,3,true,Offer,69
748960645977,2,true,Product,238
748960659080,2,true,Product,239
748960660192,2,true,Product,240
748960665340,2,true,Product,241
748960682637,2,true,Product,242
748960710590,2,true,Product,243
748960740337,2,true,Product,244
748960781118,2,true,Product,245
748960795139,2,true,Product,246
748960808129,2,true,Product,247
748960954000,2,true,Product,248
748960980160,2,true,Product,249
748960980160ro,3,true,Offer,70
765066765323,2,true,Product,250
765066765323be,3,true,Offer,71
765066765323bu,3,true,Offer,72
765066765323gr,3,true,Offer,73
